directory,sample,total_events,valid_events
,NMSSM_X700_Y500.parquet,2234,2234
,NMSSM_X700_Y90.parquet,15458,15458
,NMSSM_X800_Y150.parquet,7311,7311
,NMSSM_X800_Y200.parquet,16146,16146
,NMSSM_X800_Y300.parquet,7145,7145
,NMSSM_X800_Y400.parquet,2707,2707
,NMSSM_X800_Y500.parquet,1242,1242
,NMSSM_X800_Y600.parquet,6782,6782
,NMSSM_X800_Y95.parquet,16113,16113
,NMSSM_X900_Y100.parquet,5956,5956
,NMSSM_X900_Y125.parquet,7504,7504
,NMSSM_X900_Y150.parquet,4558,4558
,NMSSM_X900_Y200.parquet,1504,1504
,NMSSM_X900_Y300.parquet,4371,4371
,NMSSM_X900_Y500.parquet,4114,4114
,NMSSM_X900_Y600.parquet,6361,6361
,NMSSM_X900_Y90.parquet,6080,6080
,NMSSM_X900_Y95.parquet,3054,3054
